VB,BEB'X,PB',BEBX,VB',XB',XX,AX,BEAX,RB',EB',PX,NX,RX,EB,Bandgap
2,-3.319597782,4.8,-5.897092546,10,2.2,3.98,3.4011897,-5.73747418,0.84625,3.916640006,0.557,9,0.705,3.369600005,0.407
2,-4.681404658,5.5,-5.897092546,6,2.1,3.98,3.4011897,-5.73747418,1.293333333,2.044640003,0.557,9,0.705,3.369600005,0.3361
9,-2.190810671,4.8,-1.046595196,10,2.2,2.66,3.0590368,-3.689630919,0.84625,3.916640006,4.7,53,1.273333333,4.437680007,0.0031
9,-2.228460083,7.36,-2.837697502,12,1.69,3.98,3.4011897,-5.73747418,1.09,1.162720002,0.557,9,0.705,4.437680007,0.0046
9,-3.349766345,5.5,-1.046595196,6,2.1,2.66,3.0590368,-3.689630919,1.293333333,2.044640003,4.7,53,1.273333333,4.437680007,0.0072
12,-3.319597782,4.8,-2.821480291,10,2.2,3.98,3.4011897,-5.73747418,0.84625,3.916640006,0.557,9,0.705,1.356160002,0.0
12,-4.681404658,5.5,-2.821480291,6,2.1,3.98,3.4011897,-5.73747418,1.293333333,2.044640003,0.557,9,0.705,1.356160002,0.0
10,-3.319597782,4.8,-6.094753522,10,2.2,3.98,3.4011897,-4.55891026,0.84625,3.916640006,0.557,9,0.705,4.473040007,0.0
10,-4.681404658,5.5,-6.094753522,6,2.1,3.98,3.4011897,-4.55891026,1.293333333,2.044640003,0.557,9,0.705,4.473040007,0.0
12,-2.190810671,4.8,-1.288829967,10,2.2,2.66,3.0590368,-3.154280889,0.84625,3.916640006,4.7,53,1.273333333,1.356160002,0.0
12,-3.349766345,5.5,-1.288829967,6,2.1,2.66,3.0590368,-3.154280889,1.293333333,2.044640003,4.7,53,1.273333333,1.356160002,0.0184
9,-3.319597782,4.8,-2.837697502,10,2.2,3.98,3.4011897,-4.540020928,0.84625,3.916640006,0.557,9,0.705,4.437680007,0.0003
9,-4.681404658,5.5,-2.837697502,6,2.1,3.98,3.4011897,-4.540020928,1.293333333,2.044640003,0.557,9,0.705,4.437680007,0.0008
10,-2.190810671,4.8,-4.554997046,10,2.2,2.66,3.0590368,-3.276070522,0.84625,3.916640006,4.7,53,1.273333333,4.473040007,0.0051
10,-3.349766345,5.5,-4.554997046,6,2.1,2.66,3.0590368,-3.276070522,1.293333333,2.044640003,4.7,53,1.273333333,4.473040007,0.0024
2,-3.319597782,4.8,-5.897092546,10,2.2,3.98,3.4011897,-4.393533774,0.84625,3.916640006,0.557,9,0.705,3.369600005,0.6513
2,-4.681404658,5.5,-5.897092546,6,2.1,3.98,3.4011897,-4.393533774,1.293333333,2.044640003,0.557,9,0.705,3.369600005,0.0021
9,-2.190810671,4.8,-1.046595196,10,2.2,2.66,3.0590368,-3.277171207,0.84625,3.916640006,4.7,53,1.273333333,4.437680007,0.0044
9,-3.349766345,5.5,-1.046595196,6,2.1,2.66,3.0590368,-3.277171207,1.293333333,2.044640003,4.7,53,1.273333333,4.437680007,0.0105
12,-3.319597782,4.8,-2.821480291,10,2.2,3.98,3.4011897,-4.393533774,0.84625,3.916640006,0.557,9,0.705,1.356160002,0.2801
12,-4.681404658,5.5,-2.821480291,6,2.1,3.98,3.4011897,-4.393533774,1.293333333,2.044640003,0.557,9,0.705,1.356160002,0.0024
2,-2.190810671,4.8,-2.650169631,10,2.2,2.66,3.0590368,-3.400777446,0.84625,3.916640006,4.7,53,1.273333333,3.369600005,0.0078
2,-3.349766345,5.5,-2.650169631,6,2.1,2.66,3.0590368,-3.400777446,1.293333333,2.044640003,4.7,53,1.273333333,3.369600005,0.0098
10,-3.319597782,4.8,-6.094753522,10,2.2,3.98,3.4011897,-4.699781335,0.84625,3.916640006,0.557,9,0.705,4.473040007,0.4248
10,-4.681404658,5.5,-6.094753522,6,2.1,3.98,3.4011897,-4.699781335,1.293333333,2.044640003,0.557,9,0.705,4.473040007,0.0024
12,-2.190810671,4.8,-1.288829967,10,2.2,2.66,3.0590368,-3.400777446,0.84625,3.916640006,4.7,53,1.273333333,1.356160002,0.0054
12,-3.349766345,5.5,-1.288829967,6,2.1,2.66,3.0590368,-3.400777446,1.293333333,2.044640003,4.7,53,1.273333333,1.356160002,0.0034
4,-6.094753522,6.8,-5.797670082,10,1.88,3.98,3.4011897,-4.070800974,0.74,4.473040007,0.557,9,0.705,3.132480005,0.0088
4,-2.821480291,5.75,-6.409916222,12,1.65,3.98,3.4011897,-4.070800974,0.88,1.356160002,0.557,9,0.705,3.868800006,0.1947
2,-5.617895441,22.8,-5.897092546,2,1.0,3.98,3.4011897,-4.070800974,1.14,1.849120003,0.557,9,0.705,3.369600005,0.0913
2,-2.71233833,7.6,-5.897092546,9,2.2,3.98,3.4011897,-4.070800974,0.765,6.957600011,0.557,9,0.705,3.369600005,0.0029
2,-5.631980671,39.7,-4.506382689,2,0.89,3.98,3.4011897,-4.070800974,1.49,1.862640003,0.557,9,0.705,1.529840002,0.3719
2,-4.681404658,5.5,-4.506382689,6,2.1,3.98,3.4011897,-4.070800974,1.293333333,2.044640003,0.557,9,0.705,1.529840002,0.0014
2,-6.31400697,8.4,-5.617895441,8,1.83,3.98,3.4011897,-4.070800974,0.8525,4.321200007,0.557,9,0.705,1.849120003,0.0
2,-6.094753522,6.8,-5.423699785,10,1.88,3.98,3.4011897,-4.070800974,0.74,4.473040007,0.557,9,0.705,1.705600003,0.0133
2,-2.821480291,5.75,-5.631980671,12,1.65,3.98,3.4011897,-4.070800974,0.88,1.356160002,0.557,9,0.705,1.862640003,0.3773
7,-2.71233833,7.6,-3.751960163,9,2.2,3.98,3.4011897,-4.070800974,0.765,6.957600011,0.557,9,0.705,2.946320005,0.0174
8,-4.681404658,5.5,-6.31400697,6,2.1,3.98,3.4011897,-4.070800974,1.293333333,2.044640003,0.557,9,0.705,4.321200007,0.0014
11,-2.821480291,5.75,-4.070800974,12,1.65,3.98,3.4011897,-4.070800974,0.88,1.356160002,0.557,9,0.705,3.508960006,0.0045
12,-2.71233833,7.6,-2.821480291,9,2.2,3.98,3.4011897,-4.070800974,0.765,6.957600011,0.557,9,0.705,1.356160002,0.0143
7,-6.094753522,6.8,-3.751960163,10,1.88,3.98,3.4011897,-3.178730516,0.74,4.473040007,0.557,9,0.705,2.946320005,0.0113
8,-2.821480291,5.75,-6.31400697,12,1.65,3.98,3.4011897,-3.178730516,0.88,1.356160002,0.557,9,0.705,4.321200007,0.0061
9,-2.71233833,7.6,-2.837697502,9,2.2,3.98,3.4011897,-3.178730516,0.765,6.957600011,0.557,9,0.705,4.437680007,0.0043
10,-4.681404658,5.5,-6.094753522,6,2.1,3.98,3.4011897,-3.178730516,1.293333333,2.044640003,0.557,9,0.705,4.473040007,0.0149
4,-5.897092546,5.6,-5.797670082,2,1.57,3.98,3.4011897,-2.766317607,0.59,3.369600005,0.557,9,0.705,3.132480005,0.292
4,-2.821480291,5.75,-5.797670082,12,1.65,3.98,3.4011897,-2.766317607,0.88,1.356160002,0.557,9,0.705,3.132480005,0.0064
4,-5.617895441,22.8,-6.409916222,2,1.0,3.98,3.4011897,-2.766317607,1.14,1.849120003,0.557,9,0.705,3.868800006,0.0002
4,-2.71233833,7.6,-6.409916222,9,2.2,3.98,3.4011897,-2.766317607,0.765,6.957600011,0.557,9,0.705,3.868800006,0.021
2,-5.631980671,39.7,-5.897092546,2,0.89,3.98,3.4011897,-2.766317607,1.49,1.862640003,0.557,9,0.705,3.369600005,0.3462
2,-4.681404658,5.5,-5.897092546,6,2.1,3.98,3.4011897,-2.766317607,1.293333333,2.044640003,0.557,9,0.705,3.369600005,0.0052
2,-6.31400697,8.4,-4.506382689,8,1.83,3.98,3.4011897,-2.766317607,0.8525,4.321200007,0.557,9,0.705,1.529840002,0.0026
2,-6.094753522,6.8,-5.617895441,10,1.88,3.98,3.4011897,-2.766317607,0.74,4.473040007,0.557,9,0.705,1.849120003,0.0002
2,-2.821480291,5.75,-5.423699785,12,1.65,3.98,3.4011897,-2.766317607,0.88,1.356160002,0.557,9,0.705,1.705600003,0.1544
2,-2.71233833,7.6,-5.631980671,9,2.2,3.98,3.4011897,-2.766317607,0.765,6.957600011,0.557,9,0.705,1.862640003,0.0208
7,-4.681404658,5.5,-3.751960163,6,2.1,3.98,3.4011897,-2.766317607,1.293333333,2.044640003,0.557,9,0.705,2.946320005,0.0036
9,-6.094753522,6.8,-2.837697502,10,1.88,3.98,3.4011897,-2.766317607,0.74,4.473040007,0.557,9,0.705,4.437680007,0.0012
2,-1.583164824,9.4,-2.072539693,7,1.55,2.66,3.0590368,-3.400777446,0.648333333,2.946320005,4.7,53,1.273333333,1.529840002,0.001
2,-3.021789169,8.4,-2.072539693,8,1.83,2.66,3.0590368,-3.400777446,0.8525,4.321200007,4.7,53,1.273333333,1.529840002,0.0018
2,-1.046595196,7.5,-2.072539693,9,1.91,2.66,3.0590368,-3.400777446,0.768333333,4.437680007,4.7,53,1.273333333,1.529840002,0.0001
2,-4.554997046,6.8,-2.072539693,10,1.88,2.66,3.0590368,-3.400777446,0.74,4.473040007,4.7,53,1.273333333,1.529840002,0.0006
2,-1.583164824,9.4,-3.015577986,7,1.55,2.66,3.0590368,-3.400777446,0.648333333,2.946320005,4.7,53,1.273333333,1.849120003,0.0006
2,-3.021789169,8.4,-3.015577986,8,1.83,2.66,3.0590368,-3.400777446,0.8525,4.321200007,4.7,53,1.273333333,1.849120003,0.0012
2,-1.046595196,7.5,-3.015577986,9,1.91,2.66,3.0590368,-3.400777446,0.768333333,4.437680007,4.7,53,1.273333333,1.849120003,0.0013
2,-4.554997046,6.8,-3.015577986,10,1.88,2.66,3.0590368,-3.400777446,0.74,4.473040007,4.7,53,1.273333333,1.849120003,0.2491
2,-2.998163763,6.5,-3.015577986,10,2.28,2.66,3.0590368,-3.400777446,0.805,5.883280009,4.7,53,1.273333333,1.849120003,0.0019
2,-1.583164824,9.4,-3.034095072,7,1.55,2.66,3.0590368,-3.400777446,0.648333333,2.946320005,4.7,53,1.273333333,1.705600003,0.001
2,-3.021789169,8.4,-3.034095072,8,1.83,2.66,3.0590368,-3.400777446,0.8525,4.321200007,4.7,53,1.273333333,1.705600003,0.0011
2,-1.046595196,7.5,-3.034095072,9,1.91,2.66,3.0590368,-3.400777446,0.768333333,4.437680007,4.7,53,1.273333333,1.705600003,0.0032
2,-4.554997046,6.8,-3.034095072,10,1.88,2.66,3.0590368,-3.400777446,0.74,4.473040007,4.7,53,1.273333333,1.705600003,0.1883
2,-3.021789169,8.4,-3.345271088,8,1.83,2.66,3.0590368,-3.400777446,0.8525,4.321200007,4.7,53,1.273333333,1.862640003,0.0006
2,-3.349766345,5.5,-3.015577986,6,2.1,2.66,3.0590368,-3.277171207,1.293333333,2.044640003,4.7,53,1.273333333,1.849120003,0.0003
4,-3.976541798,6.28,-3.870140802,4,1.96,2.66,3.0590368,-3.400777446,0.83,3.132480005,4.7,53,1.273333333,2.030080003,0.1246
4,-1.583164824,9.4,-3.870140802,7,1.55,2.66,3.0590368,-3.400777446,0.648333333,2.946320005,4.7,53,1.273333333,2.030080003,0.0009
2,-3.770903917,6.5,-5.897092546,10,2.28,3.98,3.4011897,-4.55891026,0.805,5.883280009,0.557,9,0.705,3.369600005,0.7863
2,-1.288829967,5.75,-2.072539693,12,1.65,2.66,3.0590368,-3.276070522,0.88,1.356160002,4.7,53,1.273333333,1.529840002,0.085
2,-3.034095072,23.5,-2.650169631,2,0.95,2.66,3.0590368,-3.689630919,1.32,1.705600003,4.7,53,1.273333333,3.369600005,2.0934
2,-5.423699785,23.5,-5.897092546,2,0.95,3.98,3.4011897,-4.540020928,1.32,1.705600003,0.557,9,0.705,3.369600005,6.4873
2,-3.034095072,23.5,-2.650169631,2,0.95,2.66,3.0590368,-3.277171207,1.32,1.705600003,4.7,53,1.273333333,3.369600005,2.2112
4,-5.897092546,5.6,-6.409916222,2,1.57,3.98,3.4011897,-4.070800974,0.59,3.369600005,0.557,9,0.705,3.868800006,0.8383
4,-5.617895441,22.8,-5.418199626,2,1.0,3.98,3.4011897,-3.178730516,1.14,1.849120003,0.557,9,0.705,2.030080003,1.0579
2,-6.094753522,6.8,-5.897092546,10,1.88,3.98,3.4011897,-3.178730516,0.74,4.473040007,0.557,9,0.705,3.369600005,1.1939
2,-2.821480291,5.75,-4.506382689,12,1.65,3.98,3.4011897,-3.178730516,0.88,1.356160002,0.557,9,0.705,1.529840002,1.9897
2,-5.631980671,39.7,-5.423699785,2,0.89,3.98,3.4011897,-3.178730516,1.49,1.862640003,0.557,9,0.705,1.705600003,1.6249
2,-1.583164824,9.4,-3.345271088,7,1.55,2.66,3.0590368,-3.400777446,0.648333333,2.946320005,4.7,53,1.273333333,1.862640003,1.8763
2,-3.751960163,9.4,-5.897092546,7,1.55,3.98,3.4011897,-5.73747418,0.648333333,2.946320005,0.557,9,0.705,3.369600005,1.9591
7,-6.094753522,6.8,-3.751960163,10,1.88,3.98,3.4011897,-4.55891026,0.74,4.473040007,0.557,9,0.705,2.946320005,0.9546
4,-2.650169631,5.6,-3.870140802,2,1.57,2.66,3.0590368,-3.276070522,0.59,3.369600005,4.7,53,1.273333333,2.030080003,1.3875
2,-1.583164824,9.4,-3.345271088,7,1.55,2.66,3.0590368,-3.276070522,0.648333333,2.946320005,4.7,53,1.273333333,1.862640003,1.7099
4,-4.233328196,5.84,-3.870140802,4,2.01,2.66,3.0590368,-3.277171207,0.77,3.868800006,4.7,53,1.273333333,2.030080003,0.8127
2,-1.288829967,5.75,-3.345271088,12,1.65,2.66,3.0590368,-3.400777446,0.88,1.356160002,4.7,53,1.273333333,1.862640003,2.0065
4,-2.072539693,10.6,-4.233328196,2,1.31,2.66,3.0590368,-3.154280889,0.86,1.529840002,4.7,53,1.273333333,3.868800006,1.5063
4,-2.650169631,5.6,-3.976541798,2,1.57,2.66,3.0590368,-3.276070522,0.59,3.369600005,4.7,53,1.273333333,3.132480005,0.8394
4,-3.034095072,23.5,-4.233328196,2,0.95,2.66,3.0590368,-3.276070522,1.32,1.705600003,4.7,53,1.273333333,3.868800006,2.6885
4,-2.650169631,5.6,-3.870140802,2,1.57,2.66,3.0590368,-3.277171207,0.59,3.369600005,4.7,53,1.273333333,2.030080003,1.3785
4,-2.072539693,10.6,-4.233328196,2,1.31,2.66,3.0590368,-3.277171207,0.86,1.529840002,4.7,53,1.273333333,3.868800006,1.5197
4,-3.345271088,39.7,-4.233328196,2,0.89,2.66,3.0590368,-3.277171207,1.49,1.862640003,4.7,53,1.273333333,3.868800006,2.7362
2,-1.288829967,5.75,-3.034095072,12,1.65,2.66,3.0590368,-3.277171207,0.88,1.356160002,4.7,53,1.273333333,1.705600003,1.7001
10,-3.345271088,39.7,-2.190810671,2,0.89,2.66,3.0590368,-3.277171207,1.49,1.862640003,4.7,53,1.273333333,3.916640006,3.145
4,-3.034095072,23.5,-4.233328196,2,0.95,2.66,3.0590368,-3.400777446,1.32,1.705600003,4.7,53,1.273333333,3.868800006,2.692
2,-1.288829967,5.75,-3.034095072,12,1.65,2.66,3.0590368,-3.400777446,0.88,1.356160002,4.7,53,1.273333333,1.705600003,1.6639
11,-4.0354713,7.4,-4.070800974,5,2.02,3.98,3.4011897,-4.540020928,1.035,2.179840003,0.557,9,0.705,3.508960006,0.8036
11,-2.628635934,7.4,-2.403892393,5,2.02,2.66,3.0590368,-3.276070522,1.035,2.179840003,4.7,53,1.273333333,2.962960005,0.8079
11,-2.628635934,7.4,-2.403892393,5,2.02,2.66,3.0590368,-3.277171207,1.035,2.179840003,4.7,53,1.273333333,2.962960005,0.8227
1,-3.823327814,6.8,-3.689630919,3,1.61,2.66,3.0590368,-3.689630919,0.675,3.441360006,4.7,53,1.273333333,1.656720003,0.8268
11,-4.29223865,6.6,-4.070800974,5,2.05,3.98,3.4011897,-4.540020928,0.83,2.749760004,0.557,9,0.705,3.508960006,0.8357
1,-3.823327814,6.8,-3.689630919,3,1.61,2.66,3.0590368,-3.154280889,0.675,3.441360006,4.7,53,1.273333333,1.656720003,0.7896
11,-2.628635934,7.4,-2.403892393,5,2.02,2.66,3.0590368,-3.400777446,1.035,2.179840003,4.7,53,1.273333333,2.962960005,0.8491
1,-3.823327814,6.8,-3.689630919,3,1.61,2.66,3.0590368,-3.276070522,0.675,3.441360006,4.7,53,1.273333333,1.656720003,0.8948
1,-3.823327814,6.8,-3.689630919,3,1.61,2.66,3.0590368,-3.277171207,0.675,3.441360006,4.7,53,1.273333333,1.656720003,0.9011
1,-3.823327814,6.8,-3.689630919,3,1.61,2.66,3.0590368,-3.400777446,0.675,3.441360006,4.7,53,1.273333333,1.656720003,0.113
11,-4.0354713,7.4,-4.070800974,5,2.02,3.98,3.4011897,-4.393533774,1.035,2.179840003,0.557,9,0.705,3.508960006,0.9353
11,-4.29223865,6.6,-4.070800974,5,2.05,3.98,3.4011897,-4.393533774,0.83,2.749760004,0.557,9,0.705,3.508960006,0.9566
1,-3.015577986,8.12,-3.277171207,3,1.81,2.66,3.0590368,-3.400777446,0.76,2.828384005,4.7,53,1.273333333,0.841360001,0.9758
1,-3.015577986,8.12,-3.277171207,3,1.81,2.66,3.0590368,-3.277171207,0.76,2.828384005,4.7,53,1.273333333,0.841360001,1.0316
11,-5.363237215,9.1,-3.178730516,3,1.78,3.98,3.4011897,-5.73747418,0.94,2.527200004,0.557,9,0.705,2.962960005,0.9914
1,-3.015577986,8.12,-3.277171207,3,1.81,2.66,3.0590368,-3.276070522,0.76,2.828384005,4.7,53,1.273333333,0.841360001,0.9927
1,-3.015577986,8.12,-3.277171207,3,1.81,2.66,3.0590368,-3.154280889,0.76,2.828384005,4.7,53,1.273333333,0.841360001,1.0028
1,-3.015577986,8.12,-3.277171207,3,1.81,2.66,3.0590368,-3.689630919,0.76,2.828384005,4.7,53,1.273333333,0.841360001,1.0089
11,-6.818069793,6.8,-4.070800974,3,1.61,3.98,3.4011897,-4.540020928,0.675,3.441360006,0.557,9,0.705,3.508960006,1.0558
11,-5.363237215,9.1,-3.178730516,3,1.78,3.98,3.4011897,-4.55891026,0.94,2.527200004,0.557,9,0.705,2.962960005,1.0684
1,-3.823327814,6.8,-3.154280889,3,1.61,2.66,3.0590368,-3.689630919,0.675,3.441360006,4.7,53,1.273333333,1.118000002,1.1103
1,-3.823327814,6.8,-3.154280889,3,1.61,2.66,3.0590368,-3.154280889,0.675,3.441360006,4.7,53,1.273333333,1.118000002,1.1201
1,-3.823327814,6.8,-3.154280889,3,1.61,2.66,3.0590368,-3.276070522,0.675,3.441360006,4.7,53,1.273333333,1.118000002,1.117
1,-3.823327814,6.8,-3.154280889,3,1.61,2.66,3.0590368,-3.277171207,0.675,3.441360006,4.7,53,1.273333333,1.118000002,1.1239
11,-4.0354713,7.4,-4.070800974,5,2.02,3.98,3.4011897,-4.699781335,1.035,2.179840003,0.557,9,0.705,3.508960006,1.1406
11,-4.29223865,6.6,-4.070800974,5,2.05,3.98,3.4011897,-4.699781335,0.83,2.749760004,0.557,9,0.705,3.508960006,1.1464
1,-3.823327814,6.8,-3.154280889,3,1.61,2.66,3.0590368,-3.400777446,0.675,3.441360006,4.7,53,1.273333333,1.118000002,0.3665
1,-3.015577986,8.12,-3.400777446,3,1.81,2.66,3.0590368,-3.400777446,0.76,2.828384005,4.7,53,1.273333333,0.795600001,1.1764
11,-6.088833224,17.8,-4.070800974,3,1.36,3.98,3.4011897,-4.540020928,0.885,3.929120006,0.557,9,0.705,3.508960006,1.1855
1,-3.015577986,8.12,-3.400777446,3,1.81,2.66,3.0590368,-3.277171207,0.76,2.828384005,4.7,53,1.273333333,0.795600001,1.1966
11,-6.818069793,6.8,-4.070800974,3,1.61,3.98,3.4011897,-4.393533774,0.675,3.441360006,0.557,9,0.705,3.508960006,1.1979
1,-3.015577986,8.12,-3.400777446,3,1.81,2.66,3.0590368,-3.276070522,0.76,2.828384005,4.7,53,1.273333333,0.795600001,1.207
1,-3.015577986,8.12,-3.400777446,3,1.81,2.66,3.0590368,-3.154280889,0.76,2.828384005,4.7,53,1.273333333,0.795600001,1.2172
1,-3.015577986,8.12,-3.400777446,3,1.81,2.66,3.0590368,-3.689630919,0.76,2.828384005,4.7,53,1.273333333,0.795600001,1.2315
11,-6.818069793,6.8,-4.070800974,3,1.61,3.98,3.4011897,-4.699781335,0.675,3.441360006,0.557,9,0.705,3.508960006,1.3558
1,-3.534946316,9.1,-3.277171207,3,1.78,2.66,3.0590368,-3.400777446,0.94,2.527200004,4.7,53,1.273333333,0.841360001,1.4004
1,-3.534946316,9.1,-3.277171207,3,1.78,2.66,3.0590368,-3.277171207,0.94,2.527200004,4.7,53,1.273333333,0.841360001,1.4102
1,-3.534946316,9.1,-3.277171207,3,1.78,2.66,3.0590368,-3.276070522,0.94,2.527200004,4.7,53,1.273333333,0.841360001,1.4204
1,-3.534946316,9.1,-3.277171207,3,1.78,2.66,3.0590368,-3.154280889,0.94,2.527200004,4.7,53,1.273333333,0.841360001,1.438
1,-3.534946316,9.1,-3.277171207,3,1.78,2.66,3.0590368,-3.689630919,0.94,2.527200004,4.7,53,1.273333333,0.841360001,1.4388
11,-6.088833224,17.8,-4.070800974,3,1.36,3.98,3.4011897,-4.393533774,0.885,3.929120006,0.557,9,0.705,3.508960006,1.44
11,-3.046107912,17.8,-3.015509414,3,1.36,2.66,3.0590368,-3.400777446,0.885,3.929120006,4.7,53,1.273333333,3.508960006,1.4719
11,-3.046107912,17.8,-3.015509414,3,1.36,2.66,3.0590368,-3.277171207,0.885,3.929120006,4.7,53,1.273333333,3.508960006,1.5479
11,-5.617144145,8.12,-3.178730516,3,1.81,3.98,3.4011897,-5.73747418,0.76,2.828384005,0.557,9,0.705,2.962960005,1.489
11,-3.046107912,17.8,-3.015509414,3,1.36,2.66,3.0590368,-3.276070522,0.885,3.929120006,4.7,53,1.273333333,3.508960006,1.4982
11,-3.046107912,17.8,-3.015509414,3,1.36,2.66,3.0590368,-3.689630919,0.885,3.929120006,4.7,53,1.273333333,3.508960006,1.5075
11,-3.046107912,17.8,-3.015509414,3,1.36,2.66,3.0590368,-3.154280889,0.885,3.929120006,4.7,53,1.273333333,3.508960006,1.5145
11,-4.29223865,6.6,-3.178730516,5,2.05,3.98,3.4011897,-5.73747418,0.83,2.749760004,0.557,9,0.705,2.962960005,1.5213
11,-5.617144145,8.12,-3.178730516,3,1.81,3.98,3.4011897,-4.55891026,0.76,2.828384005,0.557,9,0.705,2.962960005,1.5975
1,-3.534946316,9.1,-3.400777446,3,1.78,2.66,3.0590368,-3.400777446,0.94,2.527200004,4.7,53,1.273333333,0.795600001,1.6011
1,-3.534946316,9.1,-3.400777446,3,1.78,2.66,3.0590368,-3.277171207,0.94,2.527200004,4.7,53,1.273333333,0.795600001,1.6184
1,-3.534946316,9.1,-3.400777446,3,1.78,2.66,3.0590368,-3.276070522,0.94,2.527200004,4.7,53,1.273333333,0.795600001,1.6358
1,-3.534946316,9.1,-3.400777446,3,1.78,2.66,3.0590368,-3.154280889,0.94,2.527200004,4.7,53,1.273333333,0.795600001,1.6414
1,-3.534946316,9.1,-3.400777446,3,1.78,2.66,3.0590368,-3.689630919,0.94,2.527200004,4.7,53,1.273333333,0.795600001,1.6431
11,-5.363237215,9.1,-3.178730516,3,1.78,3.98,3.4011897,-4.540020928,0.94,2.527200004,0.557,9,0.705,2.962960005,1.6547
11,-4.29223865,6.6,-3.178730516,5,2.05,3.98,3.4011897,-4.55891026,0.83,2.749760004,0.557,9,0.705,2.962960005,1.6595
1,-2.709008248,6.6,-3.689630919,5,2.05,2.66,3.0590368,-3.689630919,0.83,2.749760004,4.7,53,1.273333333,1.656720003,1.6691
1,-2.709008248,6.6,-3.689630919,5,2.05,2.66,3.0590368,-3.154280889,0.83,2.749760004,4.7,53,1.273333333,1.656720003,1.6775
